orgName,orgMetric,metric,deviceId,desc,product,productCode,descAll,type,high,hDesc,low,lDesc,unit,wr,alarm
楼顶热泵机组,SYS_C,SYS_C,SYS,系统启停命令（一键启停）,楼顶热泵机组,P0001_,系统启停命令（一键启停）,数字量,1,启动,0,停止,,读写,
,SYS_S,SYS_S,SYS,系统运行状态,楼顶热泵机组,P0001_,系统运行状态,数字量,1,运行,0,不运行,,只读,
,SYS_SelfCheck,SYS_SelfCheck,SYS,系统自检状态,楼顶热泵机组,P0001_,系统自检状态,模拟量,1,自检,0,无,,只读,
,TimeRemain,TimeRemain,SYS,时间沙漏,楼顶热泵机组,P0001_,时间沙漏,模拟量,1000,,0,,,只读,
,TimeRemainDisp,TimeRemainDisp,SYS,时间沙漏显示,楼顶热泵机组,P0001_,时间沙漏显示,数字量,1,,0,,,读写,
,SYS_MdDf,SYS_MdDf,SYS,热泵机组除霜模式,楼顶热泵机组,P0001_,热泵机组除霜模式,数字量,1,除霜,0,,,读写,
,SYS_MdMc,SYS_MdMc,SYS,热泵机组制冷模式,楼顶热泵机组,P0001_,热泵机组制冷模式,数字量,1,制冷,0,,,读写,
,SYS_MdMh,SYS_MdMh,SYS,热泵机组制热模式,楼顶热泵机组,P0001_,热泵机组制热模式,数字量,1,制热,0,,,读写,
,ASHP_ACtl,ASHP_ACtl,SYS,热泵机组自动启停,楼顶热泵机组,P0001_,热泵机组自动启停,数字量,1,启动,0,停止,,只读,
,ASHP_AuHeCTmSp,ASHP_AuHeCTmSp,SYS,热泵机组辅热停止温度设置,楼顶热泵机组,P0001_,热泵机组辅热停止温度设置,模拟量,1000,,0,,,读写,
,ASHP_AuHeOTmSp,ASHP_AuHeOTmSp,SYS,热泵机组辅热开启温度设置,楼顶热泵机组,P0001_,热泵机组辅热开启温度设置,模拟量,1000,,0,,,读写,
,ASHP_HAs,ASHP_HAs,SYS,热泵机组手动/自动状态,楼顶热泵机组,P0001_,热泵机组手动/自动状态,数字量,1,自动,0,手动,,读写,
,ASHP_HeRWrTmSp,ASHP_HeRWrTmSp,SYS,热泵机组热回收进水温度设置,楼顶热泵机组,P0001_,热泵机组热回收进水温度设置,模拟量,1000,,0,,,读写,
,ASHP_HeWrTmSp,ASHP_HeWrTmSp,SYS,热泵机组制热进水温度设置,楼顶热泵机组,P0001_,热泵机组制热进水温度设置,模拟量,1000,,0,,,读写,
,ASHP_MCtl,ASHP_MCtl,SYS,热泵机组手动启停,楼顶热泵机组,P0001_,热泵机组手动启停,数字量,1,启动,0,停止,,读写,
,ASHP_ReWrTmSp,ASHP_ReWrTmSp,SYS,热泵机组制冷进水温度设置,楼顶热泵机组,P0001_,热泵机组制冷进水温度设置,模拟量,1000,,0,,,读写,
,G1_AnFrMSp,G1_AnFrMSp,SYS,"机组1冬天防冻设置
1:冬天防冻使能
0:冬天防冻关闭",楼顶热泵机组,P0001_,"机组1冬天防冻设置
1:冬天防冻使能
0:冬天防冻关闭",数字量,1,,0,,,读写,
,G1_AuHeCTmSp,G1_AuHeCTmSp,SYS,机组1辅热停止温度设置,楼顶热泵机组,P0001_,机组1辅热停止温度设置,模拟量,45,,38,,,读写,
,G1_AuHeMSp,G1_AuHeMSp,SYS,"机组1辅热模式设置
1:辅热使能
0:辅热关闭",楼顶热泵机组,P0001_,"机组1辅热模式设置
1:辅热使能
0:辅热关闭",数字量,1,,0,,,读写,
,G1_AuHeOTmSp,G1_AuHeOTmSp,SYS,机组1辅热开启温度设置,楼顶热泵机组,P0001_,机组1辅热开启温度设置,模拟量,37,,33,,,读写,
,G1_EnSaMSp,G1_EnSaMSp,SYS,"机组1节能模式设置
1:节能模式
0:非节能模式",楼顶热泵机组,P0001_,"机组1节能模式设置
1:节能模式
0:非节能模式",数字量,1,,0,,,读写,
,G1_HeRWrTmSp,G1_HeRWrTmSp,SYS,机组1热回收进水温度设置,楼顶热泵机组,P0001_,机组1热回收进水温度设置,模拟量,60,,40,,,读写,
,G1_HeWrTmSp,G1_HeWrTmSp,SYS,机组1制热进水温度设置,楼顶热泵机组,P0001_,机组1制热进水温度设置,模拟量,45,,30,,,读写,
,G1_OC,G1_OC,SYS,"机组1开关机
255为开，0为关",楼顶热泵机组,P0001_,"机组1开关机
255为开，0为关",模拟量,255,开机,0,关机,,读写（不建议修改）,
,G1_ReWrTmSp,G1_ReWrTmSp,SYS,机组1制冷进水温度设置,楼顶热泵机组,P0001_,机组1制冷进水温度设置,模拟量,25,,10,,,读写,
,G1_SiMSp,G1_SiMSp,SYS,"机组1静音模式设置
1:静音模式
0:非静音模式",楼顶热泵机组,P0001_,"机组1静音模式设置
1:静音模式
0:非静音模式",数字量,1,,0,,,读写,
,G1_TF,G1_TF,SYS,机组1总故障标志位,楼顶热泵机组,P0001_,机组1总故障标志位,数字量,1,故障,0,正常,,只读,值为1时报警
,G1_WModeSp,G1_WModeSp,SYS,"机组1显示板工作模式设置
01制冷模式/冷热回收模式
02制热模式
03手动除霜",楼顶热泵机组,P0001_,"机组1显示板工作模式设置
01制冷模式/冷热回收模式
02制热模式
03手动除霜",模拟量,3,,0,,,读写（不建议修改）,
空调水供回设定,SYS_AcwsrPd,AcwsrPd,SYS,空调水供回水压差,空调水供回设定,P0002_,空调水供回水压差,模拟量,1.6,,0,,,读写,
,SYS_AcwsrPdSp,AcwsrPdSp,SYS,空调水供回水压差设定值,空调水供回设定,P0002_,空调水供回水压差设定值,模拟量,1.6,,0,,,读写,
,SYS_AcwsrTd,AcwsrTd,SYS,空调水供回水温差,空调水供回设定,P0002_,空调水供回水温差,模拟量,20,,0,,,读写,
,SYS_AcwsrTdSp,AcwsrTdSp,SYS,空调水供回水温差设定值,空调水供回设定,P0002_,空调水供回水温差设定值,模拟量,1000,,0,,,读写,
"供水总供管压力
",SYS_AcwsPr,AcwsPr,SYS,"供水总供管压力
","供水总供管压力
",#N/A,"供水总供管压力
",模拟量,1.6,,0,,Mpa,只读,
供水总回管压力,SYS_AcwrPr,AcwrPr,SYS,供水总回管压力,供水总回管压力,P0004_,供水总回管压力,模拟量,1.6,,0,,Mpa,只读,
